sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
93,23,93,"Chennai Girls Higher Sec School, Class Room 6B No.8 West facing West Jones Road, Chennai-15 North Face Room","1.Saidapet.Ward No.142 Subramaniya Salai 2.Saidapet.Ward No.142 Adikesavan Street 3.Saidapet.Ward No.142 Kumarasumy Street 4.Saidapet.Ward No.142 munusamy street
5.Saidapet.WardNo 142 Ramasamy Street",All Voters
94,23,94,"Fathima CBSE SCHOOL ,Class Room- 1A Police Line Alandur Road Chennai-15 West Face Room",1.Saidapet.Ward No.168 Aalandur Road Chetty Thottam,All Voters
95,23,95,"Fathima CBSE SCHOOL ,Class Room- 1A Police Line Alandur Road Chennai-15 West Face Room",1.Saidapet.Ward No.168 Jothi Thottam 2.Saidapet.Ward no 168 jothiammal nagar 101-end,All Voters
96,23,96,"Fathima CBSE SCHOOL ,Class Room- 1B Police Line Alandur Road Chennai-15 West Face Room",1.Saidapet.Ward no 168 jothiammal nagar (Door No),All Voters
97,23,97,"Fathima CBSE SCHOOL , Class Room- 2A Police Line Alandur Road Chennai-15 West Face Room",1.Saidapet.Ward No.168 Chetty Thottam,All Voters
98,23,98,"Fathima CBSE SCHOOL, Class Room- 2B Police Line Alandur Road Chennai-15 West Face Room",1.Saidapet.Ward No.168 neruppu medu,All Voters
99,23,99,"Fathima CBSE SCHOOL, Class Room- 3A Police Line Alandur Road Chennai- 15 West Face Room","1.Saidapet.Ward No.142 alanthur road ""2.Saidapet.Ward No.142
S.N.R. Flats""
3.Saidapet.Ward No.142 Kamarajar Street (Abith Colony) 4.Saidapet.Ward No.142 Nagalingam Street (Abith Colony) 5.Saidapet.Ward No.142 Gandhi Street
6.Saidapet.Ward No.142 Kannagi Street",All Voters
100,23,100,"Fathima CBSE SCHOOL, Class Room- 3B Police Line Alandur Road Chennai- 15 West Face Room","1.Saidapet.Ward No.142 Abith Colony
2.Saidthapet.Ward No.142 Gragalakshmi Appartment 3.Saidapet.Ward No.142 Sun View Nest
""4.Saidapet.Ward No.142
V.O.C Street""
5.Saidapet.Ward No.142 Kambar StreetWard No 135 Kambar Street 6.Saidapet.Ward No.142 bharathiar street
7.Saidapet.Ward No.142 Thiruvalluvar Street",All Voters
101,23,101,"CSI Matriculation School, UKG A Class Room Mohamed Ali Police Lane Alandur Road,Saidapet, Chennai-15 West Face Room",1.Saidapet.Ward No.142 samiyar thottam Door no 1 to 50,All Voters
102,23,102,"CSI Matriculation School, UKG B Class Room Mohamed Ali Police Lane Alandur Road,Saidapet, Chennai-15 West Face Room",1.Saidapet.Ward No.142 samiyar thottam Door no 51 to100,All Voters
103,23,103,"CSI Matriculation School,UKG C Class Room Mohamed Ali Police Lane Alandur Road,Saidapet, Chennai-15 West Face Room","1.Saidapet.Ward No.142 Police Quarters Colony
2.Saidapet.Ward No.142 varasakthi vinagar koil street 3.Saidapet.Ward No.142 brahmin street
4.Saidapet.Ward No.142 Brahmin Lane",All Voters
104,23,104,"CSI Matriculation School, LKG Class Room Mohamed Ali Police Lane Alandur Road,Saidapet, Chennai-15 West Face Room","1.Saidapet.Ward No.142 Bujangarao Street 2.Saidapet.Ward No.142 Om AppartmentS
3. Saidapet.Ward No.142 Chetty Street
4.Saidapet.Ward No.142 Mathangi Flats",All Voters
105,23,105,"Annai Velankanni Matriculation Higher Sec. School, Class Room-2C V.G.P Salai Chennai-15 South Face Room",1.Saidapet.Ward No.168 hospital salai (v.g.p salai) Door no 1 to 70,All Voters
106,23,106,"Annai Velankanni Matriculation Higher Sec. School, Class Room-2B V.G.P Salai Chennai-15 South Face Room",1.Saidapet.Ward No.168 hospital salai (v.g.p salai) Door no 71 to 150,All Voters
107,23,107,"Annai Velankanni Matriculation Higher Sec. School, Class Room-3A V.G.P Salai Chennai-15 South Face Room","1.Saidapet.Ward No.168 parsan nagar (hospital salai) 2.Saidapet.Ward No.168 Customs Colony
3.Saidapet.Ward No.168 Customs Colony
4.Saidapet.Ward No.168 central excise colony",All Voters
108,23,108,"Annai Velankanni Matriculation Higher Sec. School,Class Room-3B V.G.P Salai Chennai-15 South Face Room","1.Saidapet.Ward No.168 anjaneyar koil street
2.Saidapet.Ward No.168 Hospital Salai 1st Lane 3.Saidapet.Ward No.168 Hospital Salai 2nd Lane",All Voters
109,23,109,"Ganapathi National Middle School, (Class Room1) V.S M Street, Chennai-15 East Face Room","1.Saidapet.Ward No.142 Sempada Street
2.Saidapet.Ward No.142 subburamaiya samy koil west lane 3.Saidapet.Ward No.142 subburamaniya samy east lane
4.Saidapet.Ward No.142 Sundareswar Koil Street
5.Saidapet.Ward No.142 sivasubramaniyam koil street (othavada street)",All Voters
110,23,110,"Ganapathi National Middle School, (Class Room 2) V.S M Street, Chennai-15 East Face Room",1.Saidapet.Ward No.142 sivasubramaniyam koil street (othavada street),All Voters
111,23,111,"Ganapathi National Middle School, (Class Room 3) V.S M Street, Chennai-15 East Face Room",1.Saidapet.Ward No.142 vathiyar subburayan mudali street,All Voters
112,23,112,"Fathima CBSE SCHOOL, Class Room- 4A Police Line Alandur Road Chennai- 15",1.Saidapet.Ward No.142 subramaniya mudali street,All Voters
113,23,113,"Fathima CBSE SCHOOL,Class Room- 4B Police Line Alandur Road Chennai- 15 West Face Room",1.Saidapet.WardNo.142 Subramaniya mudali Street ( 51 To End),All Voters
114,23,114,"Fathima CBSE SCHOOL, Class Room- 4C Police Line Alandur Road Chennai- 15 West Face Room","1.Saidapet.Ward No.142 Mathangi Apartments 2.Saidapet.Ward No.142 Tank Square Street
3.Saidapet.Ward No.142 Karaneeswarar Koil Street 4.Saidapet.Ward No.142 Nanda Flats
5.Saidapet.Ward No.142 Eswar Appartments 6.Saidapet.Ward No.142 Railway Colony",All Voters
115,23,115,"Annai Velankanni Matriculation Higher Sec School,Class Room- 4A V.T Mahesh Memorial Hall V.G.P Road Chennai-15 South Face Room",1.Saidapet.Ward No.142 kothavalsavadi street,All Voters
116,23,116,"Annai Velankanni Matriculation Higher Sec School,Class Room- 4B V.T Mahesh Memorial Hall V.G.P Road Chennai-15 South Face Room","1.Saidapet.Ward No.142 Arun Flats
2.Saidapet.Ward No.142 Suvaraj Apartments 3.Saidapet.Ward No.142 Srinivasa Flats
4.Saidapet.Ward No.142 Subam Flats
5.Saidapet.Ward No.142 kothaval chavadi street",All Voters
117,23,117,"Annai Velankanni Matriculation Higher Sec School, 5A
V.T Mahesh Memorial Hall
V.G.P Road Chennai- 15 South Face Room","1.Saidapet.Ward No.142 Narayanasamy Street 2nd and 3rd 2.Saidapet.Ward No.142 Rathna Garden 1st Street
3.Saidapet.Ward No.142 Narayanasamy 1st street",All Voters
118,23,118,"Annai Velankanni Matriculation Higher Sec. School , Class Room-5B V.G.P Salai Chennai-15 South Face Room",1.Saidthapet.Ward No.168 vinayagapuram street,All Voters
119,23,119,"Annai Velankanni Matriculation Higher Sec. School , Class Room-5B V.G.P Salai Chennai-15 South Face Room","1.Saidapet.Ward No.142 tamil nadu slum clearance board kudiyiruppu a block
2.Saidapet.Ward No. 142 Tamil Nadu Slum Cleareance Board Quaters B Block 3.Saidapet.Ward No.142 Tamil Nadu Slum Clearance Board Quaters C Block
4.Saidapet.Ward No.142 Sasthri Nagar TNSCB Kudiyiruppu Kudiyiruppu",All Voters
120,23,120,"Annai Velankanni Matriculation Higher Sec. School. 5C
V.G.P Salai Chennai-15 South Face Room",1.Saidapet.Ward No.142 Duraisamy Thottam,All Voters
121,23,121,"Annai Velankanni Matriculation Higher Sec. School,Class Room-6A V.G.P Salai Chennai-15 South Face Room","1.Saidapet.Ward No.142 TNSCB Kudiyiruppu
2.Saidapet.Ward No.142 TNSCB G Block Kudiyiruppu 3.Saidapet.Ward No.142 TNSCB Kudiyiruppu
4.Saidapet.Ward No.142 tnscb kudiyiruppu 5.Saidapet.Ward No.142 TNSCB Kudiyiruppu
6.Saidapet.Ward No.142 TNSCB Kudiyiruppu Block 6 7.Saidapet.Ward No.142
TNSCB Kudiyiruppu Block 7",All Voters
122,23,122,"Chennai Corporation Middle School, Class Room1, Abdul Rasaq Thideer Nagar, Saidapet, Chennai-15 West Face Room",1.Saidapet.Ward No.142 karunanith street huts old no 2.Saidapet.Ward No.142 Marx Land New No. 1 to 21 3.Saidapet.Ward No.142 Bazaar Road 4.Saidapet.Ward No.142 thideer nagar 4th street (huts)  5.Saidapet.Ward No.142 Thideer Nagar 5th Street (Huts),All Voters
123,23,123,"Chennai Corporation Middle School, Class Room2, Abdul Rasaq Thideer Nagar, Saidapet, Chennai-15 West Face Room",1.Saidapet.Ward No.142 thideer nagar new no 1 to 300,All Voters
124,23,124,"Chennai Corporation Middle School, Class Room3, Abdul Rasaq Thideer Nagar, Saidapet, Chennai-15 West Face Room",1.Saidapet.Ward No.142 thideer nagar new no 301 to 430 2.Saidapet.Ward No.142 Anna Nagar Washing Department,All Voters
125,23,125,"Corporation Gym Building ,-1 Police Boys Club, Kothamedu , Saidapet, Chennai-15 South Face Room",1.Saidapet.Ward No.142 kothamedu (old blocks) t.n.s.c.b,All Voters
126,23,126,"Corporation Gym Building , -2 Police Boys Club, Kothamedu
, Saidapet, Chennai-15 South Face Room",1.Saidapet.Ward No.142 kothamedu (old blocks 6 to 10) t.n.s.c.b 2.Saidapet.Ward No.142 Kalnaar Houses,All Voters
127,23,127,"Chennai Corporation Middle School ,Class Room 3, Abdul Rasaq Thideer Nagar, Saidapet, Chennai-15 West Face Room",1.Saidapet.Ward No.142 kothamedu tnhb new blocks 1 to 17,All Voters
128,23,128,"Chennai Corporation Middle School , Class Room 4, Abdul Rasaq Thideer Nagar, Saidapet, Chennai-15 West Face Room",1.Saidapet.Ward No.142 kothamedu tnhb new blocks 18 to 35,All Voters
129,23,129,"Chennai Corporation Middle School,Class Room 5, Abdul Rasaq Thideer Nagar, Saidapet, Chennai-15 West Face Room","1.Saidapet.Ward No.142 Vinayagampettai
2.Saidapet.Ward No.142 Mahalakshmi Appartments 3.Saidapet.Ward No.142 abdul razack street
4.Saidapet.Ward No.142 Mahalakshmi Apparments 5.Saidapet.Ward No.142 Srivari Flats
6.Saidapet.Ward No.142 Vinayagampettai Street
7.Saidapet.Ward No.142 Abdul Razack Thottam Kalnar Veedugal 1",All Voters
130,23,130,"Chennai Corporation Middle School, Class Room 6, Abdul Rasaq Thideer Nagar, Saidapet, Chennai-15 West Face Room No 1",1.Saidapet.Ward No.142 anna nagar (iyerland) huts part 2.Saidapet.Ward No.142 Abdul Razack 2nd Street,All Voters
131,23,131,"Chennai Corporation Middle School ,Class Room 7, Abdul Rasaq Thideer Nagar, Saidapet, Chennai-15 West Face Room No 2",1.Saidapet.Ward No.142 Salavaiyalar colony 1St Street 2.Saidapet.Ward No.142 Salavaiyalar colony 2nd Street 3.Saidapet.Ward No.142 Salavaiyalar Colony 3rd Street 4.Saidapet.Ward No.142 Abdul Razack 1st Street,All Voters
132,23,132,"Geetha Matriculation Hr.Sec School. No.34 Seshachalam Street, Saidapet, Chennai- 600015 East Face Room No 1",1.Saidapet.Ward No.169 mosque thottam Door no 1 to 100,All Voters
133,23,133,"Geetha Kinder garden No.1 Pilliyar koil street Saidapet, Chennai- 600015 East Face Room No 1","1.Saidapet.Ward No.169 mosque thottam Door no 101 to 200 2.Saidapet.Ward No.169 Chinnaiya Thottam 1st Street
3.Saidapet.Ward No.169 Chinnaiya Thottam 2nd Street",All Voters
134,23,134,"Geetha Kinder garden No.1 Pilliyar koil street Saidapet, Chennai- 600015 East Face Room No 2","1.Saidapet.Ward No.142 Jeeyer Lane
2.Saidapet.Ward No.142 Dharmaraja Koil Lane 3.Saidapet.Ward No.142 dharmaraja koil street 4.Saidapet.Ward No.142 Jenees Salai 5.Saidapet.Ward No.142 pillayar koil street
6.Saidapet.Ward No.142 Krishna pillai Thottam 2nd Street",All Voters
135,23,135,"Geetha Matriculation Hr.Sec School. No.34 Seshachalam Street, Saidapet, Chennai- 600015 East Face Room No 3",1Saidapet.Ward No.142 Seshachalam Street 2.Saidapet.Ward No.142 Arun Flats,All Voters
136,23,136,"Geetha Matriculation Hr.Sec School. No.34 Seshachalam Street, Saidapet, Chennai- 600015 East Face Room No 4","1.Saidapet.Ward No.142 east jones road old no 1 to 76 2.Saidapet.Ward No.142 Kala Appartments
3.Saidapet.Ward No.142 Thirisul Srisakthi Home
4.Saidapet.Ward No.142 Jeenis Road Old No 1 to 18 5.Saidapet.Ward No.142 Jeenis Appartments
6.Saidapet.Ward No.142 Maragatham Appartments 7.Saidapet.Ward No.142 Krishna Pillai Thottam 1st Street",All Voters
137,23,137,"Alpha Matriculation Higher Sec School, Class Room-1A
C.I.T Nagar West 3rd Cross Street, Chennai-35 West Face Room",1.Saidapet.Ward No.169 Railway Border 1st Street 2.T.Nagar.Ward No.169 J Flats,All Voters
138,23,138,"Alpha Matriculation Higher Sec School, Class Room-1
C.I.T Nagar West 3rd Cross Street, Chennai-35 West Face Room",1.Saidapet.WardNo.169 Hospital Road ( Railway Border 3rd Street) 2.Saidapet.Ward No.169 Gandhipuram 1st Street,All Voters
139,23,139,"Alpha Matriculation Higher Sec School, Class Room-1B
C.I.T Nagar West 3rd Cross Street, Chennai-35 West Face Room No 2",1.Saidapet.Ward No.169 gandhi street 3.Saidapet.Ward No.169 railway border 2nd street 3.Saidapet.Ward No.169 Anna Street (Kaveri Nagar),All Voters
140,23,140,"Alpha Matriculation Higher Sec School, Class Room-2A
C.I.T Nagar West 3rd Cross Street, Chennai-35 West Face Room No 3","1.Saidapet.Ward No.169 Anna 1st Cross Street 1.Saidapet.Ward No.169 Anna 2nd Cross Street 3.Saidapet.Ward No.169 Bharathi Street
4.Saidapet.Ward No.169 kasthuribai street
5.Saidapet.Ward No.169 70 Feet Road Subbu Pillai Thottam D.No.1 to 15",All Voters
141,23,141,"Alpha Matriculation Higher Sec School, 2B
C.I.T Nagar West 3rd Cross Street, Chennai- 35 West Face Room No 4",1.Saidapet.Ward No.169 Gandhipuram 2st Street 2.Saidapet.Ward No.169 Gandhipuram 3rd Street,All Voters
142,23,142,"Alpha Matriculation Higher Sec School,Class Room-3A
C.I.T Nagar West 3rd Cross Street, Chennai- 35 West Face Room No 6","1.Nandhanam.Ward No.169 east street west c.i.t. nagar ""2.Nandhanam.Ward No.169
K.D.S. Flats""
3.Nandhanam West.WardNo.169 Nandhiloop Street 4.Nandhanam.Ward No.169 west street west c.i.t. nagar",All Voters
143,23,143,"Alpha Matriculation Higher Sec School, Class Room-3B
C.I.T Nagar West 3rd Cross Street, Chennai-35 West Face Room No 7","1.Nandhanam.Ward No.169 Anandh Flats, 2.Nandhanam.Ward No.169 Chaithanya Flats, Chennai
3.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters C Block 4.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters D Block 5.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters G Block 6.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters G Block
7.C I T Nagar.Ward No.169 West C.I.T Nagar Loop Street,",All Voters
144,23,144,"Alpha Matriculation Higher Sec School, Class Room-3C
C.I.T Nagar West 3rd Cross Street, Chennai-35 West Face Room No 7","1.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters E Block 2.T.nagar.Ward No.169 h i g block t.n.h.b.qtrs
3.Nandhanam.Ward No.169 north street c.i.t. nagar",All Voters
145,23,145,"Alpha Matriculation Higher Sec School,  C.I.T Nagar West 3rd Cross Street, Chennai-35 West Face Room No 7",1.Saidapet.Ward No.142 Subbupillai Thottam S.C.B. A Block Quarters 2.Saidapet.Ward No.142 Subbupillai Thottam S.C.B. Quarters B Block 3.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters C Block 4.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters D Block 5.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters E Block 6.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters G Block 7.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters G Block 8.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters H Block 9.Saidapet.Ward No.169 subbupillai thottam s.c.b.quarters i block 10.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters J Block 11.Saidapet.Ward No.169 Subbupillai Thottam S.C.B. Quarters K Block 12.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters L Block 13.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters M Block 14.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters N Block 15.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters 16.Saidapet.Ward No.169 Subbupillai Thottam S.C.B.Quarters,All Voters
146,23,146,"Anganwadi School, GCC 1 Kaveri Nagar Saidapet, Chennai -15 South Face Room - 2",1.Saidapet.Ward No.169 soodiammanpet street,All Voters
147,23,147,"Anganwadi School, GCC 1 Kaveri Nagar Saidapet, Chennai -15",1.Saidapet.Ward No.169 Sasthri Nagar 2nd Cross Street 2.Saidapet.Ward No.169 Bharathidasan 1st cross Street,All Voters
148,23,148,"Alpha Matriculation Higher Sec School, Class Room-1B
C.I.T Nagar West 3rd Cross Street, Chennai-35 East Face Room No 8",1.Saidapet.Ward No.169 Bharathidasan 2nd Cross Street 2.Saidapet.Ward No.169 Bharathidasan 3rd Cross Street 3.Saidapet.Ward No.169 Bharathidasan street,All Voters
149,23,149,"Alpha Matriculation Higher Sec School, Class Room-2B
C.I.T Nagar West 3rd Cross Street, Chennai-35 East Face Room No 9","1.Saidapet.Ward No.169 Sasthiri Nagar 1st Cross Street
2.Saidapet.Ward No.169 70 Feet Road II Cross Street (Indra Gandhi Salai)",All Voters
150,23,150,"Alpha Matriculation Higher Sec School, Class Room-3B
C.I.T Nagar West 3rd Cross Street, Chennai-35 East Face Room No 10","1.Saidapet.Ward No.169 Sasthiri Nagar 3rd Cross Street 2.Saidapet.Ward No.169 TNSCB U Block
3.Saidapet.Ward No.169 Aranganathan Salai",All Voters
151,23,151,"Geetha Matriculation Hr.Sec School. No.34 Seshachalam Street, Saidapet, Chennai- 600015 West Face Room No 5",1.Saidapet.NewWardno 142 balaji singh street 2.Saidapet.Ward No.142 Kuyavar Veedi,All Voters
152,23,152,"Chennai Primary School, Class Room1A Chitra Nagar Kotturpuram Chennai- 85 South Face Room",1.Kotturpuram.Ward No.170 A Block Chitra Nagar Slum Clearance Board 2.Kotturpuram.Ward No.170 Block B Chitra Nagar Slum Clearance Board6 3.Kotturpuram.Ward No.170 Block C Chitra Nagar Slum Clearance Board 4.Kotturpuram.Ward No.170 Block D Chitra Nagar Slum Clearance Board 5.Kotturpuram.Ward No.170 Block E Chitra Nagar Slum Clearance Board 6.Kotturpuram.Ward No.170 F Block Chitra Nagar Slum Clearance Board 7.Kotturpuram.Ward No.170 Block G Chitra Nagar Slum Clearance Board 8.Kotturpuram.Ward No.170 Block H Chitra Nagar Slum Clearance Board 9.Kotturpuram.Ward No.170 I Block Chitra Nagar Slum Clearance Board 10.Kotturpuram.Ward No.170 Block J Chitra Nagar Slum Clearance Board,All Voters
153,23,153,"Chennai Primary School, Class Room 1B Chitra Nagar Kotturpuram Chennai- 85 South Face Room",1.Kotturpuram.Ward No.170 Block K Chitra Nagar Slum Clearance Board 2.Kotturpuram.Ward No.170 L Block Chitra Nagar Slum Clearance Board 3.Kotturpuram.Ward No.170 M Block Chitra Nagar Slum Clearance Board 4.Kotturpuram.Ward No 170 N Block Chitra Nagar Slum Clearance Board 5.Kotturpuram.Ward No 170 O Block Chitra Nagar Slum Clearance Board 6.Kotturpuram.Ward No 170 P Block Chitra Nagar Slum Clearance Board 7.Kotturpuram.Ward No.170 Q Block Chitra Nagar Slum Clearance Board 8.Kotturpuram.Ward No.170 Block R Chitra Nagar Slum Clearance Board 9.Kotturpuram.Ward No 170 S Block Chitra Nagar Slum Clearance Board 10.Kotturpuram.Ward No.170 Block T Chitra Nagar Slum Clearance Board 11.Kotturpuram.Ward No.170 Block U Chitra Nagar Slum Clearance Board,All Voters
154,23,154,"Chennai Primary School, Class Room2A Chitra Nagar Kotturpuram Chennai- 85 South Face Room","1.Kotturpuram.Ward No.170 Block V Chitra Nagar Slum Clearance Board 2.Kotturpuram.Ward No.170 Block W Chitra Nagar Slum Clearance Board 3.Kotturpuram Chitra Nagar.Ward No.170 C Block TNSCB 4.3.Kotturpuram.Ward No 170 D Block TNSCB 5.Kotturpuram ChitraNagar.Ward No.170 E Block TNSCB
6.3.Kotturpuram.Ward No 170 K Block TNSCB",All Voters
155,23,155,"AMM Mat Hr sec schl,Room-3A Gandhi Mandapam Road Kotturpuram Chennai - 85 West Face Room","1.Kotturpuram.Ward No.170 Ambedkar Nagar Huts 2.Kotturpuram.Ward No.170 Muthumariyamman Koil Huts 3.Kotturpuram.Ward No.170 Water Tank Colony Huts 4.Kotturpuram.Ward No.170 TNSCB R Block 78 82 and 88 ""5.Kotturpuram.Ward No.170
T.N.S.C.B Kudiyiruppu Block 74""",All Voters
156,23,156,"AMM Mat Hr sec schl,Room-3A Gandhi Mandapam Road Kotturpuram Chennai - 85 West Face Room","""1.Kotturpuram.Ward No.170
T.N.S.C B Kudiyiruppu Block 77""
""2.Kotturpuram.Ward No 170 T.N.S.C.B Kudiyiruppu Block 79"" ""3.Kotturpuram.Ward No.170
T.N.S.C.B Kudiyiruppu Block 80"" ""4.Kotturpuram.Ward No.170
T.N.S.C.B Kudiyiruppu Block 81""
""5.Kotturpuram.Ward No 170 T.N.S.C.B Kudiyiruppu Block 83"" ""6.Kotturpuram.Ward No 170 T.N.S.C.B Kudiyiruppu Block 85"" ""7.Kotturpuram.Ward No.170
T.N.S.C.B Kudiyiruppu Block 86""
""8.Kotturpuram.Ward No 170 T.N.S.C.B Kudiyiruppu Block 87"" ""9.Kotturpuram.Ward No.170
T.N.S.C.B Kudiyiruppu Block 1"" ""10.Kotturpuram.Ward No.170
T.N.S.C.B Kudiyiruppu Block 2""
11.Kotturpuram.Ward No.170 ambedkar nagar (huts ) ""12.Kotturpuram.Ward No.170
T.N.S.C.B Kudiyiruppu Block 84""",All Voters
157,23,157,"Chennai Corporatio Multipurpose Building, Hall No
-1Chitra Nagar Kotturpuram chennai - 85 South Face Room","1.Kotturpuram.Ward No.170 TNSCB H L Block 4 2.Kotturpuram.Ward No.170 tnscb h block 5
3.Kotturpuram.Ward No.170 TNSCB H Block 6 4.Kotturpuram.Ward No.170 TNSCB H Block 7 5.Kotturpuram.Ward No.170 TNSCB H Block 8 6.Kotturpuram.Ward No.170 TNSCB H Block 9 7.Kotturpuram.Ward No.170 tnscb h block 10
8.Kotturpuram.Ward No.170 TNSCB H Block 11Ward No.138 TNSCB H Block 11
9.Kotturpuram.Ward No.170 TNSCB H Block 12 10.Kotturpuram.Ward No.170 TNSCB H Block 13 11.Kotturpuram.Ward No.170 TNSCB H Block 14 12.Kotturpuram.Ward No.170 TNSCB H Block 15 13.Kotturpuram.Ward No.170 TNSCB H Block 16
14.Kotturpuram.Ward No.170 TNSCB H Block 17",All Voters
158,23,158,"Chennai Corporatio Multipurpose Building , South Hall-2 Chitra Nagar Kotturpuram chennai -85 South Face Room",1.Kotturpuram.Ward No.170 TNSCB H Block 75 2.Kotturpuram.Ward No.170 TNSCB H Block 76 3.Kotturpuram.Ward No.170 TNSCB H Block 31 4.Kotturpuram.Ward No.170 TNSCB H Block 36 5.Kotturpuram.Ward No.170 TNSCB H Block 38 6.Kotturpuram.Ward No.170 TNSCB H Block 39 7.Kotturpuram.Ward No.170 TNSCB H Block 50 8.Kotturpuram.Ward No.170 TNSCB H Block 51 9.Kotturpuram.Ward No.170 TNSCB H Block 52 10.Kotturpuram.Ward No.170 Government Staff Quarters H Block 1 11.Kotturpuram.Ward No.170 Government Staff Quarters H Block 2 12.Kotturpuram.Ward No. 170 Government Staff Quarters H Block 3 13.Kotturpuram.Ward No.170 Government Staff Quarters H Block 4 14.Kotturpuram.Ward No. 170 Government Staff Quarters H Block 5 15.Kotturpuram.Ward No.170 Government Staff Quarters H Block 6 16.Kotturpuram.Ward No.170 Government Staff Quarters H Block 89,All Voters
159,23,159,"AMM Mat Hr sec schl,Room-2A Gandhi Mandapam Road Kotturpuram Chennai - 85 West Face Room",1.Kotturpuram.Ward no.170 r block tamil nadu slum cleareance board block no 18 to 34,All Voters
160,23,160,"AMM Mat Hr sec schl,Room-3A Gandhi Mandapam Road Kotturpuram Chennai - 85 West Face Room",1.Kotturpuram.Ward No.170 R Block Kotturpuram Slum Cleareance Board (53 to 64),All Voters
161,23,161,"AMM Mat Hr sec schl,Room-4A Gandhi Mandapam Road Kotturpuram Chennai - 85 West Face Room",1.Kotturpuram.Ward No.170 Kotturpuram TNSCB (65 to 73),All Voters
162,23,162,"AMM Mat Hr sec schl,Room-1A Gandhi Mandapam Road Kotturpuram Chennai - 85 West Face Room","1.Kotturpuram.Ward No.170 Gandhi Mandabam Salai 2.Kotturpuram.Ward No.170 T.N.H.B. Salai
3.Kotturpuram.Ward No.170 1st Main Salai 4.Kotturpuram.Ward No.170 2nd Main Salai 5.Kotturpuram.Ward No.170 3rd main salai 6.Kotturpuram.Ward No.170 1st Loop Salai 7.Kotturpuram.Ward No.170 2nd Loop Salai 8.Kotturpuram.Ward No.170 3rd Loop Salai 9.Kotturpuram.Ward No.170 Cresent Salai
10.Kotturpuram.Ward No.170 Thandayuthapani Nagar 2nd Street",All Voters
163,23,163,"AMM Mat Hr sec schl,Class Room-1B Gandhi Mandapam Road Kotturpuram Chennai - 85 West Face Room",1.Kotturpuram.Ward No.170 circular colony 5th main salai 2.Kotturpuram.Ward No.170 tnhp 4th main salai 3.Kotturpuram.Ward No.170 Ranjith Road,All Voters
164,23,164,"AMM Mat Hr sec schl,Class Room-2A Gandhi Mandapam Road Kotturpuram Chennai - 85 West Face Room","1.Kotturpuram.Ward no.170 ashler palace
2.Kotturpuram.Ward No.170 Exchequars Court (2,4th Main Salai Extension) 3.Kotturpuram.Ward No.170 Royal Helitet (4,4th Main Salai Extension) 4.Kotturpuram.Ward No.170 royal villa (5,4th main salai extension) 5.Kotturpuram.Ward No.170 Viswakamal (7,4th Main Salai Extension) 6.Kotturpuram.Ward No.170 Rivera (8,4 Main Salai Extension) 7.Kotturpuram.Ward No.170 ceder park (9,4th main salai extension) 8.Kotturpuram.Ward No.170 Thandayudapani Nagar 1st Street 9.Kotturpuram.Ward No.170 Ambadi Street
10.Kotturpuram.Ward No.170 Vellaiyan Street
11.Kotturpuram.Ward No.170 Arunachalam Salai 12.Kotturpuram.Ward No.170 Murugappa Street",All Voters
165,23,165,"Kottur Nadar Uravin Murai Nursary and Primary School ,Class Room-1Perumal Koil Street, Chennai-85 West Face Room",1.Kottur.Ward No.170 Guruvappan Street 2.Kottur.Ward No.170 Peeliyamman Koil Street,All Voters
166,23,166,"Kottur Nadar Uravin Murai Nursary and Primary School,Class Room-2 Perumal Koil Street, Chennai-85 West Face Room","1.Kotturpuram.Ward No.170 Bharathi Avenue 2nd Street 2.Kottur.Ward No.170 Sudalai Pathai Mandapam Salai
3.Kotturpuram.Ward No.170 Surya Appartmetns 4.Kotturpuram.Ward No.170 Galaxsi Appartments
5.Kotturpuram.Ward No.170 Bharathi Avenue 1st Street",All Voters
167,23,167,"Kottur Nadar Uravin Murai Nursary and Primary School,Class Room-2 Perumal Koil Street, Chennai-85 West Face Room","1.Kottur.Ward No.170 Kulakarai Salai Erikarai Salai 2.Kottur.Ward No.170 Sudalai Pathai Huts
3.Kottur.Ward No.170 Balaji Street",All Voters
