sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,0,total_valid_votes,rejected_votes,total,tendered_votes
13,12,13,0,219,26,0,1,0,0,0,0,0,41,0,0,0,0,2,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,707,0,707,0
14,12,14,0,308,25,1,0,0,0,2,0,0,53,0,0,0,2,0,464,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,859,0,861,0
15,12,15,0,307,19,1,0,0,1,0,0,0,42,0,0,2,1,1,402,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,786,0,788,0
16,12,16,0,271,22,0,0,0,0,0,0,0,49,0,0,0,2,2,392,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,746,0,750,0
17,12,17,0,281,35,0,0,0,1,0,0,1,67,2,0,3,0,0,651,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,6,1050,0,1056,0
18,12,18,0,380,31,0,0,0,0,0,0,0,51,0,0,0,0,0,441,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,906,0,911,0
19,12,19,0,287,24,0,0,0,0,0,0,0,30,0,0,0,0,0,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,8,853,0,861,0
20,12,20,0,250,25,0,0,0,0,0,0,0,25,0,0,0,1,0,562,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,4,0,1,1,0,0,1,0,1,0,1,877,0,878,0
21,12,21,0,227,16,1,0,0,0,1,1,0,33,2,0,0,0,1,412,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,707,0,708,0
22,12,22,0,265,28,4,1,0,0,0,0,2,65,0,0,0,1,0,499,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,867,0,872,0
23,12,23,0,271,28,0,0,0,0,0,0,0,44,0,0,2,1,0,430,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,778,0,783,0
24,12,24,0,233,15,0,0,0,0,0,1,0,46,1,0,2,2,0,317,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,624,0,625,0
25,12,25,0,190,27,1,0,0,1,0,0,1,89,0,0,1,0,0,436,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,747,0,750,1
26,12,26,0,233,30,0,0,0,0,1,0,2,68,0,0,1,1,0,474,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,819,0,821,0
27,12,27,0,313,25,0,0,1,0,0,0,1,51,2,0,0,1,1,539,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,1,0,1,0,0,2,0,0,0,0,0,0,3,944,0,947,0
28,12,28,0,209,39,0,0,0,1,0,0,0,87,0,0,0,3,1,532,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,1,1,8,886,0,894,0
29,12,29,0,295,21,1,1,0,0,0,0,0,34,0,0,1,0,0,346,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,702,0,705,0
30,12,30,0,175,13,0,0,2,0,0,1,2,65,0,0,1,0,0,343,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,611,0,612,0
31,12,31,0,125,9,2,0,0,0,0,0,0,26,0,0,2,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,359,0,360,0
32,12,32,0,322,28,1,0,0,0,0,0,0,39,2,1,2,2,0,525,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,926,0,926,0
33,12,33,0,290,19,0,0,0,0,0,0,1,19,0,0,0,0,0,477,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,808,0,810,0
34,12,34,0,180,5,0,0,1,0,0,0,0,16,1,1,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,484,0,486,0
35,12,35,0,272,17,0,0,0,0,0,0,0,26,0,0,1,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,828,0,830,0
36,12,36,0,249,19,1,0,0,1,0,1,0,49,0,0,0,0,0,459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,784,0,785,1
37,12,37,0,173,19,1,0,0,0,0,0,1,36,0,0,0,1,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,683,0,685,0
38,12,38,0,290,27,0,0,0,0,0,1,0,71,0,0,0,0,0,509,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,908,0,915,0
39,12,39,0,247,15,1,1,0,0,0,0,0,53,0,0,1,0,1,532,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,2,863,0,865,0
40,12,40,0,229,10,0,0,0,0,0,0,0,33,0,0,0,0,0,362,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,639,0,641,0
41,12,41,0,316,15,1,0,0,0,0,1,1,53,0,0,1,0,0,402,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,5,798,0,803,0
42,12,42,0,185,13,0,1,1,0,0,0,0,22,0,0,2,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,461,0,464,0
43,12,43,0,293,19,0,0,0,1,0,0,0,41,0,0,1,1,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,776,0,778,0
44,12,44,0,307,13,2,0,2,0,0,1,0,32,1,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,676,0,679,0
