sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,total_valid_votes,rejected_votes,total,tendered_votes
268,36,268,0,200,8,2,399,267,1,0,0,0,1,4,1,0,2,1,885,0,886,0
269,36,269,0,205,18,1,157,202,3,0,0,0,1,1,0,0,2,2,590,0,592,0
270,36,270,0,148,12,0,186,185,0,0,0,0,0,24,1,1,6,3,563,0,566,0
271,36,271,0,320,23,2,244,222,0,0,0,0,0,5,1,2,3,3,822,0,825,0
272,36,272,0,273,18,1,275,310,2,0,1,0,0,4,4,0,2,3,890,0,893,0
273,36,273,0,305,10,1,118,358,5,5,1,0,0,3,1,0,0,5,807,0,812,0
274,36,274,0,223,15,1,395,173,1,0,0,0,0,1,1,0,2,3,812,0,815,0
275,36,275,0,147,5,3,289,122,0,0,0,1,0,2,1,3,0,1,573,0,574,0
276,36,276,0,193,5,0,145,172,0,4,0,0,1,1,0,0,0,7,521,0,528,0
277,36,277,0,158,3,0,53,156,0,0,0,0,0,0,2,0,0,6,372,0,378,0
278,36,278,0,273,11,3,402,231,0,1,0,0,1,2,1,0,1,1,926,0,927,0
279,36,279,0,213,12,0,139,160,0,1,0,0,0,2,0,0,1,1,528,0,529,0
280,36,280,0,160,10,1,106,261,2,0,1,0,0,0,0,1,0,3,542,0,545,0
281,36,281,0,286,14,3,112,419,1,0,1,1,1,2,1,1,1,5,843,0,848,0
282,36,282,0,281,6,2,179,326,2,0,0,1,0,0,1,1,2,3,801,0,804,0
283,36,283,0,308,22,1,167,434,0,2,0,1,0,4,0,3,1,7,943,0,950,0
284,36,284,0,223,10,1,109,183,0,0,0,0,0,1,0,0,0,0,527,0,527,0
285,36,285,0,299,9,1,201,225,0,1,0,0,0,1,1,0,0,0,738,0,738,0
286,36,286,0,225,15,2,105,270,0,0,0,0,0,1,0,1,0,6,619,0,625,0
287,36,287,0,394,22,0,100,336,1,0,0,0,1,3,2,0,1,5,860,0,865,0
288,36,288,0,190,28,0,126,247,0,2,0,0,1,3,5,1,1,5,604,0,609,0
289,36,289,0,188,17,1,160,282,1,0,0,2,1,3,1,0,1,3,657,0,660,0
290,36,290,0,181,12,0,144,153,0,3,0,1,0,0,0,0,0,3,494,0,497,0
291,36,291,0,193,18,2,363,290,0,0,0,1,0,4,0,0,0,3,871,0,874,0
292,36,292,0,154,5,2,177,261,0,0,0,0,0,2,2,1,0,6,604,0,610,0
293,36,293,0,256,15,0,44,262,2,0,0,0,0,0,1,0,0,0,580,0,580,0
294,36,294,0,316,28,3,299,194,0,0,0,2,0,2,1,0,0,1,845,0,846,0
295,36,295,0,248,15,4,138,126,0,1,0,0,0,0,0,0,0,0,532,0,532,0
296,36,296,0,251,23,2,147,283,0,1,0,1,0,0,1,1,1,5,711,0,716,0
297,36,297,0,261,20,0,143,215,0,1,0,0,0,0,2,2,0,4,644,0,648,0
298,36,298,0,192,18,1,221,197,0,0,0,0,0,3,2,0,0,1,634,0,635,0
299,36,299,0,130,14,1,343,95,1,1,0,0,0,2,1,0,1,6,589,0,595,0
300,36,300,0,224,17,1,150,163,0,1,0,0,0,0,0,0,0,0,556,0,556,0
301,36,301,0,178,24,1,166,159,0,1,0,0,1,0,3,0,1,3,534,0,537,0
302,36,302,0,158,8,1,151,237,0,1,0,1,0,4,2,0,1,4,564,0,568,0
303,36,303,0,143,12,1,109,164,1,4,0,0,0,0,0,0,0,4,434,0,438,0
304,36,304,0,260,18,0,113,305,2,3,0,0,0,0,0,1,0,7,702,0,709,0
