sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,0,total_valid_votes,rejected_votes,total,tendered_votes
99,88,99,0,239,3,36,22,135,1,0,389,2,1,0,1,1,0,0,2,1,0,0,0,0,0,1,2,0,3,0,1,0,0,0,4,840,0,844,0
100,88,100,0,131,1,6,2,14,1,0,169,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,328,0,330,0
101,88,101,0,176,3,14,13,35,0,3,343,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,1,0,0,0,1,0,0,1,3,596,0,599,0
102,88,102,0,118,0,20,36,132,0,1,492,2,0,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,4,810,0,814,0
103,88,103,0,95,3,18,21,131,1,0,370,1,0,0,1,0,3,0,0,2,1,0,0,1,0,0,1,0,1,1,0,0,0,4,3,655,0,658,0
104,88,104,0,173,2,15,41,150,1,3,470,1,1,0,0,1,2,0,1,1,0,0,1,3,2,0,5,1,1,0,1,1,4,0,4,881,0,885,0
105,88,105,0,172,2,24,25,141,0,0,482,1,0,0,0,0,0,0,1,0,1,1,2,5,0,0,2,1,1,0,0,0,2,1,4,864,0,868,0
106,88,106,0,157,0,17,18,110,0,3,371,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,1,2,1,0,3,1,5,691,0,696,0
107,88,107,0,180,1,16,14,85,1,2,302,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3,610,0,613,0
108,88,108,0,209,2,22,14,95,2,1,342,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,695,0,697,0
109,88,109,0,174,0,17,16,99,0,0,232,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6,543,0,549,0
110,88,110,0,128,1,18,20,133,1,3,276,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,584,0,585,0
111,88,111,0,184,2,18,18,125,0,0,383,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,738,0,738,0
112,88,112,0,102,1,37,25,150,2,0,378,0,0,0,1,0,0,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,4,703,0,707,0
113,88,113,0,130,1,27,18,192,1,0,421,1,0,1,0,1,0,1,1,1,1,0,0,3,0,0,2,0,0,0,0,1,0,2,5,805,0,810,0
114,88,114,0,147,1,27,76,141,3,2,364,1,0,0,0,0,0,0,0,2,1,1,4,4,3,1,1,0,3,0,5,1,2,4,6,794,0,800,0
115,88,115,0,115,0,17,60,95,0,1,426,0,0,0,0,0,1,1,0,1,0,1,0,4,0,1,2,2,1,0,0,1,2,2,5,733,0,738,0
116,88,116,0,116,3,29,47,113,0,1,349,1,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,2,668,0,670,0
117,88,117,0,108,0,22,47,97,0,1,288,2,0,0,1,1,0,0,1,3,0,0,2,0,1,0,2,0,1,0,0,1,1,1,2,580,0,582,0
118,88,118,0,135,1,23,53,176,1,3,405,0,0,1,0,1,0,0,1,2,0,0,1,1,0,0,1,1,0,0,1,1,0,3,6,811,0,817,0
119,88,119,0,193,2,27,14,67,1,1,284,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5,593,0,598,0
120,88,120,0,154,1,22,5,64,1,4,429,1,0,0,1,3,0,0,1,1,1,0,0,1,0,0,2,1,1,0,1,0,1,3,2,698,0,700,0
121,88,121,0,166,3,26,7,79,3,1,559,1,0,0,1,0,1,0,3,1,1,1,1,0,0,1,1,0,0,0,0,0,2,2,3,860,0,863,0
122,88,122,0,117,0,25,6,47,1,0,465,0,1,0,0,1,0,0,1,2,1,0,3,0,1,0,3,3,2,0,2,0,0,2,2,683,0,685,0
123,88,123,0,295,1,13,18,22,0,2,265,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,9,624,0,633,0
124,88,124,0,190,1,27,9,90,0,0,252,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,571,0,572,0
125,88,125,0,135,0,24,74,163,1,1,476,1,0,1,0,0,3,1,3,0,0,0,1,1,1,1,2,1,0,0,0,0,2,0,6,892,0,898,0
126,88,126,0,144,2,32,39,174,2,1,283,0,0,0,0,1,2,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,3,6,689,0,695,0
127,88,127,0,79,0,15,99,127,3,2,411,1,0,0,1,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,745,0,747,0
128,88,128,0,118,1,22,70,142,0,5,418,0,0,0,1,0,3,0,2,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,3,789,0,792,0
129,88,129,0,117,2,21,30,90,1,0,252,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,2,521,0,523,0
130,88,130,0,82,1,16,53,143,0,1,471,1,0,0,0,2,0,0,1,0,1,1,1,0,2,0,3,2,1,1,0,0,0,0,3,783,0,786,0
131,88,131,0,108,3,19,40,162,1,0,278,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,3,0,0,1,0,0,0,1,5,621,0,626,0
132,88,132,0,111,3,26,30,230,1,1,369,0,1,0,0,1,2,0,1,3,0,1,1,3,1,0,0,1,1,1,0,0,1,0,3,789,0,792,0
133,88,133,0,163,1,24,43,189,1,0,346,2,0,0,0,2,1,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1,1,5,780,0,785,0
