sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,total_valid_votes,rejected_votes,total,tendered_votes
81,106,81,0,41,190,123,0,321,4,0,3,1,1,0,2,2,0,1,1,0,2,3,692,0,695,0
82,106,82,0,14,334,118,6,519,2,1,1,1,0,1,2,0,2,2,2,0,1,1,1006,0,1007,0
83,106,83,0,20,118,107,1,222,0,0,0,0,0,0,0,1,0,0,1,0,1,1,471,0,472,0
84,106,84,0,16,155,114,2,227,3,1,0,0,0,0,0,0,0,2,1,0,1,2,522,0,524,0
85,106,85,0,21,148,87,2,150,0,0,0,0,0,0,0,0,0,0,0,0,0,2,408,0,410,0
86,106,86,0,11,206,77,2,197,4,0,1,0,0,0,1,0,0,1,1,0,2,7,503,0,510,0
87,106,87,0,27,315,98,1,303,0,0,1,0,0,0,2,0,0,1,2,0,0,6,750,0,756,0
88,106,88,0,24,188,99,0,144,0,0,0,0,0,0,0,1,0,0,0,0,0,3,456,0,459,0
89,106,89,0,23,383,117,2,272,1,0,0,0,0,0,0,1,0,1,0,0,1,3,801,0,804,0
90,106,90,0,14,174,58,1,180,0,0,0,1,1,0,0,0,0,0,0,0,0,5,429,0,434,0
91,106,91,0,36,191,156,1,239,6,0,1,0,0,0,1,0,0,0,1,0,0,4,632,0,636,0
92,106,92,0,24,109,111,0,147,3,2,0,0,0,0,1,0,0,0,0,1,0,7,398,0,405,0
93,106,93,0,24,243,141,0,219,6,0,1,0,0,0,0,0,0,0,1,0,0,4,635,0,639,0
94,106,94,0,7,252,72,3,304,1,1,1,0,0,0,0,0,0,0,0,0,1,1,642,0,643,0
95,106,95,0,21,189,89,3,167,0,0,1,0,0,0,0,0,0,1,0,1,1,1,473,0,474,0
96,106,96,0,16,184,148,2,210,2,0,0,0,1,0,0,1,0,1,1,0,0,8,566,0,574,0
97,106,97,0,30,279,141,0,243,2,1,0,0,0,0,0,0,0,0,1,0,0,3,697,0,700,0
98,106,98,0,18,221,111,0,319,0,0,0,0,0,0,0,1,0,0,0,0,0,5,670,0,675,0
99,106,99,0,28,243,119,0,271,0,1,0,0,0,0,0,0,2,0,1,0,0,4,665,0,669,0
100,106,100,0,23,171,130,0,292,0,0,1,0,0,0,0,0,0,0,2,0,0,5,619,0,624,0
101,106,101,0,19,272,145,1,308,1,2,1,0,0,1,1,0,0,0,1,0,0,3,752,0,755,0
102,106,102,0,42,289,133,3,365,1,1,4,1,0,0,1,1,2,1,3,0,2,6,849,0,855,0
103,106,103,0,24,308,163,2,290,0,0,0,0,1,0,1,2,0,0,2,0,1,4,794,0,798,0
104,106,104,0,32,380,106,6,507,0,0,1,0,0,1,3,0,0,6,2,0,2,5,1046,0,1051,0
105,106,105,0,23,196,102,0,222,0,0,0,0,0,0,0,0,1,5,2,1,0,4,552,0,556,0
106,106,106,0,35,302,127,0,372,2,0,0,0,0,0,0,0,0,7,3,0,4,5,852,0,857,0
107,106,107,0,31,218,98,0,289,0,1,1,1,0,0,0,0,1,1,1,0,3,2,645,0,647,0
108,106,108,0,23,251,143,1,329,0,1,4,0,2,0,0,2,0,0,4,1,1,1,762,0,763,0
109,106,109,0,25,156,130,2,212,0,0,0,0,0,0,1,1,3,0,1,0,0,4,531,0,535,0
110,106,110,0,29,277,109,0,312,0,1,3,0,0,0,0,1,3,1,0,0,0,4,736,0,740,0
111,106,111,0,19,214,131,2,279,0,0,0,1,0,1,0,0,0,0,1,0,0,2,648,0,650,0
112,106,112,0,28,259,137,3,300,0,3,0,0,0,0,1,1,0,0,0,1,0,9,733,0,742,0
113,106,113,0,24,181,88,1,289,4,0,1,0,0,0,0,0,0,0,0,0,0,2,588,0,590,0
114,106,114,0,28,198,167,2,321,3,1,1,0,0,0,3,1,0,0,0,0,1,3,726,0,729,0
115,106,115,0,43,319,215,1,383,2,0,1,0,0,0,1,1,0,1,2,1,3,9,973,0,982,0
116,106,116,0,18,218,218,0,323,1,1,1,0,0,0,0,0,1,1,1,0,0,5,783,0,788,0
117,106,117,0,53,209,291,3,364,1,0,0,0,1,0,2,0,3,0,3,1,2,1,933,0,934,0
118,106,118,0,32,223,289,4,359,0,0,0,0,0,1,0,1,5,4,3,0,1,2,922,0,924,0
119,106,119,0,18,176,135,3,165,0,4,0,1,0,0,1,0,0,0,0,0,0,3,503,0,506,0
120,106,120,0,32,287,251,9,300,1,7,0,0,0,0,2,2,1,5,0,0,4,2,901,0,903,0
121,106,121,0,30,177,193,2,292,0,0,0,1,1,1,0,3,1,5,3,1,2,4,712,0,716,0
122,106,122,0,11,133,111,2,206,0,0,0,0,0,0,0,1,1,2,2,1,1,4,471,0,475,0
123,106,123,0,21,191,177,1,240,1,4,1,0,0,0,1,0,1,1,1,1,0,2,641,0,643,0
124,106,124,0,35,269,171,0,266,0,1,0,0,0,0,0,0,1,0,1,0,2,0,746,0,746,0
125,106,125,0,34,153,343,4,296,0,4,1,1,1,0,2,0,1,3,0,1,0,4,844,0,848,0
126,106,126,0,25,251,210,1,273,0,0,0,0,0,0,1,1,1,4,0,1,0,4,768,0,772,0
127,106,127,0,8,144,62,2,215,2,2,0,1,0,2,0,0,1,0,1,0,0,2,440,0,442,0
128,106,128,0,28,214,180,0,281,1,1,2,0,0,0,0,1,0,1,0,0,1,4,710,0,714,0
129,106,129,0,21,197,189,4,511,1,2,2,1,0,2,0,1,0,1,2,0,3,7,937,0,944,0
130,106,130,0,8,153,58,1,295,1,0,0,0,0,1,0,2,0,1,0,1,1,1,522,0,523,0
131,106,131,0,12,117,71,0,279,2,0,0,1,0,1,1,0,1,1,0,0,1,2,487,0,489,0
132,106,132,0,26,166,129,0,245,2,12,0,0,1,0,0,0,0,1,0,1,1,1,584,0,585,0
133,106,133,0,30,235,213,7,329,5,1,3,2,1,1,2,2,1,7,3,0,2,3,844,0,847,0
134,106,134,0,9,75,88,1,89,1,1,0,0,1,1,0,2,0,4,1,0,0,1,273,0,274,0
135,106,135,0,28,212,113,5,245,23,0,0,0,0,0,1,1,0,1,3,0,5,8,637,0,645,0
136,106,136,0,34,253,138,3,390,16,1,3,0,1,0,0,0,0,2,2,0,0,4,843,0,847,0
