ac_code,ps_serial_number,ps_code,candidate_serial_number,candidate_votes
170,28,28,5,0
170,28,28,6,325
170,28,28,7,2
170,28,28,8,0
170,28,28,9,1
170,28,28,10,1
170,28,28,11,1
170,28,28,12,0
170,28,28,13,0
170,28,28,14,4
170,28,28,0,0
170,29,29,1,245
170,29,29,2,317
170,29,29,3,24
170,29,29,4,1
170,29,29,5,0
170,29,29,6,229
170,29,29,7,0
170,29,29,8,1
170,29,29,9,1
170,29,29,10,0
170,29,29,11,0
170,29,29,12,0
170,29,29,13,1
170,29,29,14,3
170,29,29,0,2
170,30,30,1,221
170,30,30,2,256
170,30,30,3,26
170,30,30,4,1
170,30,30,5,1
170,30,30,6,223
170,30,30,7,0
170,30,30,8,1
170,30,30,9,1
170,30,30,10,0
170,30,30,11,0
170,30,30,12,3
170,30,30,13,0
170,30,30,14,4
170,30,30,0,4
170,31,31,1,137
170,31,31,2,279
170,31,31,3,23
170,31,31,4,1
170,31,31,5,1
170,31,31,6,168
170,31,31,7,1
170,31,31,8,0
170,31,31,9,1
170,31,31,10,0
170,31,31,11,1
170,31,31,12,3
170,31,31,13,2
170,31,31,14,2
170,31,31,0,0
170,32,32,1,217
170,32,32,2,226
170,32,32,3,20
170,32,32,4,5
170,32,32,5,0
170,32,32,6,202
170,32,32,7,0
170,32,32,8,0
170,32,32,9,0
170,32,32,10,0
170,32,32,11,1
170,32,32,12,3
170,32,32,13,1
170,32,32,14,4
170,32,32,0,1
170,33,33,1,216
170,33,33,2,225
170,33,33,3,12
170,33,33,4,2
170,33,33,5,0
170,33,33,6,122
170,33,33,7,1
170,33,33,8,0
170,33,33,9,0
170,33,33,10,0
170,33,33,11,0
170,33,33,12,0
170,33,33,13,0
170,33,33,14,2
170,33,33,0,1
170,34,34,1,280
170,34,34,2,157
170,34,34,3,20
170,34,34,4,1
170,34,34,5,0
170,34,34,6,212
170,34,34,7,4
170,34,34,8,0
170,34,34,9,0
170,34,34,10,1
170,34,34,11,0
170,34,34,12,1
170,34,34,13,0
170,34,34,14,6
170,34,34,0,4
170,35,35,1,175
170,35,35,2,230
170,35,35,3,20
170,35,35,4,0
170,35,35,5,0
170,35,35,6,218
170,35,35,7,4
170,35,35,8,1
170,35,35,9,0
170,35,35,10,1
170,35,35,11,0
170,35,35,12,1
170,35,35,13,0
170,35,35,14,1
170,35,35,0,2
170,36,36,1,83
170,36,36,2,185
170,36,36,3,11
170,36,36,4,0
170,36,36,5,0
170,36,36,6,159
170,36,36,7,1
170,36,36,8,0
170,36,36,9,0
170,36,36,10,0
170,36,36,11,1
170,36,36,12,1
170,36,36,13,0
170,36,36,14,1
170,36,36,0,2
170,37,37,1,138
170,37,37,2,376
170,37,37,3,37
170,37,37,4,4
170,37,37,5,2
170,37,37,6,367
170,37,37,7,2
170,37,37,8,0
170,37,37,9,1
170,37,37,10,0
170,37,37,11,2
170,37,37,12,4
170,37,37,13,0
170,37,37,14,3
170,37,37,0,3
170,38,38,1,171
170,38,38,2,256
170,38,38,3,29
170,38,38,4,8
170,38,38,5,4
170,38,38,6,275
170,38,38,7,3
170,38,38,8,0
170,38,38,9,0
170,38,38,10,1
170,38,38,11,2
170,38,38,12,1
170,38,38,13,1
170,38,38,14,8
170,38,38,0,4
170,39,39,1,124
170,39,39,2,334
170,39,39,3,23
170,39,39,4,5
170,39,39,5,1
170,39,39,6,213
170,39,39,7,0
170,39,39,8,0
170,39,39,9,2
170,39,39,10,0
170,39,39,11,0
170,39,39,12,0
170,39,39,13,3
170,39,39,14,5
170,39,39,0,0
170,40,40,1,166
170,40,40,2,334
170,40,40,3,19
170,40,40,4,2
170,40,40,5,1
170,40,40,6,288
170,40,40,7,0
170,40,40,8,0
170,40,40,9,4
170,40,40,10,2
170,40,40,11,0
170,40,40,12,1
170,40,40,13,2
170,40,40,14,3
170,40,40,0,1
170,41,41,1,215
170,41,41,2,287
170,41,41,3,16
170,41,41,4,3
170,41,41,5,0
170,41,41,6,319
170,41,41,7,4
170,41,41,8,1
170,41,41,9,0
170,41,41,10,1
170,41,41,11,2
170,41,41,12,0
170,41,41,13,0
170,41,41,14,2
170,41,41,0,0
170,42,42,1,227
170,42,42,2,272
170,42,42,3,15
170,42,42,4,12
170,42,42,5,1
170,42,42,6,185
170,42,42,7,0
170,42,42,8,0
170,42,42,9,0
