sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,0,total_valid_votes,rejected_votes,total,tendered_votes
45,150,45,0,228,0,24,1,0,220,1,0,0,60,0,1,0,1,1,5,2,0,0,1,545,0,545,0,0,0,0,0,45,0
46,150,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,150,46,0,181,0,16,0,1,167,0,0,1,45,2,2,0,0,0,1,2,0,0,0,418,0,418,0,0,0,0,0,46,0
47,150,47,0,329,3,47,1,2,405,3,1,1,88,3,3,0,1,2,4,2,0,0,3,898,0,898,0,0,0,0,0,47,0
47,150,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,150,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,150,48,0,245,1,13,0,1,273,2,0,0,43,0,1,0,0,0,0,4,0,0,2,585,0,585,0,0,0,0,0,48,0
49,150,49,0,175,0,12,0,5,155,0,0,1,84,1,0,0,1,0,4,2,0,0,1,441,0,441,0,0,0,0,0,49,0
50,150,50,0,203,1,24,0,0,168,1,0,2,73,0,1,0,1,1,2,3,0,1,0,481,0,481,0,0,0,0,0,50,0
51,150,51,0,146,0,22,0,1,156,1,0,3,199,0,0,0,0,2,0,0,0,1,1,532,0,532,0,0,0,0,0,51,0
52,150,52,0,177,1,21,0,8,182,1,1,1,355,0,0,1,0,0,3,3,0,0,0,754,0,754,0,0,0,0,0,52,0
53,150,53,0,380,6,41,0,2,221,1,1,0,180,1,1,1,0,1,6,5,0,0,1,848,0,848,0,0,0,0,0,53,0
54,150,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
55,150,55,0,101,2,11,0,0,104,1,0,2,606,0,1,0,1,0,0,1,0,1,1,832,0,832,0,0,0,0,0,55,0
56,150,56,0,297,2,22,0,4,281,6,3,1,365,2,3,0,3,1,5,8,0,0,0,1003,0,1003,0,0,0,0,0,56,0
57,150,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,150,57,0,72,0,4,0,3,50,2,0,17,210,1,0,1,0,0,1,1,0,0,0,362,0,362,0,0,0,0,0,57,0
58,150,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,150,58,0,339,2,34,0,2,194,0,2,4,354,1,0,0,1,2,11,2,1,0,0,949,0,949,0,0,0,0,0,58,0
59,150,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,150,59,0,162,1,16,0,1,128,2,1,11,483,0,1,0,0,0,2,1,0,0,1,810,0,810,0,0,0,0,0,59,0
60,150,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,150,60,0,335,2,19,0,5,188,1,0,5,165,1,1,0,1,0,10,3,1,0,1,738,0,738,0,0,0,0,0,60,0
61,150,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,150,61,0,295,3,43,0,1,264,1,7,4,164,0,2,0,1,0,3,6,0,1,1,796,0,796,0,0,0,0,0,61,0
62,150,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,150,62,0,177,0,10,0,1,115,1,0,2,185,0,1,0,0,0,2,4,0,0,0,498,0,498,0,0,0,0,0,62,0
63,150,63,0,291,1,42,1,9,202,1,0,3,223,3,3,0,0,0,4,1,0,0,2,786,0,786,0,0,0,0,0,63,0
64,150,64,0,493,3,22,1,5,261,2,0,2,193,1,1,0,1,2,15,16,1,0,2,1021,0,1021,0,0,0,0,0,64,0
65,150,65,0,437,2,19,0,2,205,2,1,3,153,1,0,0,0,0,5,6,0,0,0,836,0,836,0,0,0,0,0,65,0
66,150,66,0,292,3,26,0,4,224,4,0,2,167,2,1,2,0,0,8,2,0,0,2,739,0,739,0,0,0,0,0,66,0
67,150,67,0,357,3,14,0,2,226,2,0,2,106,1,2,0,1,0,6,3,0,0,1,726,0,726,0,0,0,0,0,67,0
68,150,68,0,163,1,14,0,3,132,1,0,3,233,3,2,1,0,0,1,1,0,0,0,558,0,558,0,0,0,0,0,68,0
