sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,0,total_valid_votes,rejected_votes,total,tendered_votes
35,13,35,0,71,0,21,235,1,0,1,1,0,2,320,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,5,656,0,661,0
36,13,36,0,79,1,21,256,1,1,0,0,0,1,306,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,669,0,672,0
37,13,37,0,47,0,18,252,0,0,0,0,1,2,387,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,710,0,712,0
38,13,38,0,68,1,34,345,6,0,1,0,0,1,440,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,902,0,904,0
39,13,39,0,45,0,16,158,0,1,0,0,0,1,250,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,477,0,477,0
40,13,40,0,58,1,33,275,1,0,1,0,0,4,337,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,717,0,719,0
41,13,41,0,53,0,19,240,0,0,0,0,0,4,364,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,685,0,690,0
42,13,42,0,69,0,23,293,1,0,1,0,0,2,368,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,763,0,766,0
43,13,43,0,47,0,21,219,0,1,0,0,0,2,277,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,569,0,571,0
44,13,44,0,75,1,20,336,0,0,0,0,0,1,342,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5,782,0,787,0
45,13,45,0,39,0,14,357,1,0,1,0,0,2,358,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,775,0,781,0
46,13,46,0,41,0,14,203,2,0,0,0,0,1,248,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,513,0,513,0
47,13,47,0,29,1,14,233,0,0,0,0,0,1,334,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,616,0,618,0
48,13,48,0,51,1,27,246,1,0,0,0,0,1,300,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,633,0,637,0
