sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,total_valid_votes,rejected_votes,total,tendered_votes
73,18,73,0,0,224,8,14,95,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,343,0,1,0
74,18,74,0,1,335,15,44,216,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,2,0
75,18,75,0,1,325,17,43,198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,586,0,1,0
76,18,76,0,1,335,14,22,223,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,599,0,1,0
77,18,77,0,3,285,20,100,290,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,704,0,3,0
78,18,78,0,0,262,11,21,174,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,472,0,1,0
79,18,79,0,0,281,15,45,185,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,532,0,3,0
80,18,80,0,1,344,17,56,199,4,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,625,0,1,0
81,18,81,0,0,159,8,55,156,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,385,0,0,0
82,18,82,0,2,386,10,44,326,2,1,0,0,0,4,0,0,0,0,1,0,0,0,2,1,0,0,0,779,0,1,0
83,18,83,0,1,272,9,92,275,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,653,0,5,0
84,18,84,0,0,185,8,44,135,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,1,0
85,18,85,0,0,374,8,38,204,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,628,0,5,0
86,18,86,0,0,383,11,59,296,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,1,0
87,18,87,0,1,349,13,74,315,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,757,0,0,0
88,18,88,0,1,253,13,48,193,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,515,0,1,0
89,18,89,0,2,126,5,58,267,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,465,0,0,0
90,18,90,0,4,274,15,62,281,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,0
91,18,91,0,2,402,12,31,163,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,613,0,2,0
