sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,total_valid_votes,rejected_votes,total,tendered_votes
13,233,13,0,279,473,50,51,0,205,0,0,0,0,0,0,0,0,0,3,779,0,782,0
13,233,13,0,41,181,5,172,1,99,0,0,2,1,0,0,0,0,0,2,461,0,463,0
13,233,13,0,83,379,10,90,1,231,1,0,4,0,0,2,1,3,0,7,722,0,729,0
13,233,13,0,181,220,23,82,2,97,2,0,0,0,0,0,1,0,0,4,427,0,431,0
13,233,13,0,97,264,20,141,1,240,0,2,5,0,0,0,0,2,1,7,676,0,683,0
13,233,13,0,125,287,15,31,1,136,2,0,7,0,0,0,1,0,0,3,480,0,483,0
13,233,13,0,13,417,27,40,0,160,1,3,0,0,0,0,0,0,0,0,648,0,648,0
14,233,14,0,154,104,14,134,1,95,1,0,1,0,0,0,0,1,0,2,351,0,353,0
14,233,14,0,210,210,50,188,1,203,0,0,1,0,0,0,0,2,0,1,655,0,656,0
14,233,14,0,182,365,30,150,1,275,0,0,0,1,1,1,2,1,0,5,827,0,832,0
14,233,14,0,112,275,18,191,0,165,1,0,7,0,2,1,0,1,0,4,661,0,665,0
14,233,14,0,14,339,36,93,0,201,0,1,0,1,0,0,1,0,1,0,673,0,673,0
14,233,14,0,294,284,14,13,1,96,2,0,0,0,1,0,0,0,1,0,412,0,412,0
14,233,14,0,126,245,11,130,2,166,1,0,3,0,0,0,1,3,0,5,562,0,567,0
14,233,14,0,140,117,7,122,1,76,1,0,0,0,0,0,0,0,0,0,324,0,324,0
14,233,14,0,98,203,15,91,0,123,2,0,4,0,0,1,0,3,0,4,442,0,446,0
14,233,14,0,168,340,38,54,1,236,0,0,0,0,0,0,0,3,1,1,673,0,674,0
14,233,14,0,84,385,9,110,2,217,0,0,2,0,2,0,1,0,0,6,728,0,734,0
14,233,14,0,238,149,20,242,1,128,0,0,0,0,0,0,0,1,0,2,541,0,543,0
14,233,14,0,280,130,11,335,1,145,0,0,2,0,0,0,0,0,1,0,625,0,625,0
14,233,14,0,224,105,19,312,3,177,1,1,1,0,0,0,0,1,0,0,620,0,620,0
14,233,14,0,70,148,11,107,0,113,1,0,0,0,0,0,0,1,0,5,381,0,386,0
14,233,14,0,196,239,26,60,1,186,0,0,0,0,0,0,0,1,0,6,513,0,519,0
14,233,14,0,252,184,36,85,0,164,2,1,0,0,0,1,1,0,0,1,474,0,475,0
14,233,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,233,14,0,56,229,22,183,0,172,0,0,1,0,0,1,1,2,0,5,611,0,616,0
14,233,14,0,28,444,8,146,1,203,2,0,0,0,0,0,0,0,0,5,804,0,809,0
14,233,14,0,266,382,15,83,0,165,1,0,0,0,0,0,2,0,2,2,650,0,652,0
14,233,14,0,42,177,2,167,1,82,0,0,1,0,0,0,0,0,1,1,431,0,432,0
15,233,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,233,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,233,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
