sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,0,total_valid_votes,rejected_votes,total,tendered_votes
104,11,104,0,0,21,141,1,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,564,0,565,0
105,11,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,11,105,0,104,19,206,0,0,1,0,439,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,774,0,777,0
106,11,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,11,106,0,43,5,73,0,0,1,4,309,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,447,0,447,0
107,11,107,0,46,18,308,1,0,0,1,252,0,0,0,0,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0,633,0
108,11,108,0,107,17,171,0,0,0,1,264,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,564,0,568,0
109,11,109,0,47,9,358,1,0,0,1,248,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,673,0
110,11,110,0,31,12,409,2,1,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,704,0,705,0
111,11,111,0,185,31,251,2,0,1,2,523,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1002,0,1003,0
112,11,112,0,71,15,184,0,0,0,2,393,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,672,0,672,0
113,11,113,0,85,22,177,0,1,0,0,377,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,667,0
114,11,114,0,121,19,195,1,1,0,0,371,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,716,0,717,0
115,11,115,0,118,30,256,2,0,0,2,427,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,5,846,0,851,0
116,11,116,0,112,27,275,2,0,0,6,486,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,917,0,919,0
117,11,117,0,62,13,135,2,0,0,2,232,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,453,0,455,0
118,11,118,0,144,31,192,0,0,1,4,419,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,800,0,807,0
119,11,119,0,122,24,149,2,0,0,0,405,1,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,712,0,713,0
120,11,120,0,110,16,113,1,0,0,1,423,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,674,0,675,0
